No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings
11,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,660.24M,8.17,9.83,0.45,1.70,2.03,9.31,7.70,-,0.00%,4.19,170.10%,-23.57%,43.90%,18.00%,40.40%,-1.80%,26.80%,19.29M,18.52M,5.20%,0.13%,80.90%,0.47%,58.72%,7.03,21.50%,29.00%,12.30%,3.00,2.00,0.12,0.13,42.90%,23.90%,21.30%,0.65%,-15.55%,-18.15%,-64.65%,6.94%,-9.52%,2.58,1.68,4.87%,4.18%,-6.74%,-14.36%,-39.19%,-26.57%,5.88%,-66.91%,16.39%,37.58,-2.00%,-0.48%,2.30,1.55M,0.92,34.22,-2.48%,"1,424,436",Feb 22/a
12,AAON,"AAON, Inc.",Industrial Goods,General Building Materials,USA,1.83B,38.23,27.37,3.19,4.66,8.23,45.88,81.36,0.72%,27.30%,0.94,19.00%,35.77%,31.90%,12.00%,7.60%,-5.50%,8.70%,50.78M,40.82M,19.40%,-0.05%,70.10%,0.96%,7.55%,18.82,18.10%,23.20%,25.70%,2.70,1.60,0.00,0.00,30.30%,19.00%,12.80%,-0.69%,-1.23%,4.04%,3.00%,6.34%,-1.77%,0.90,0.80,1.97%,2.15%,-1.90%,0.27%,2.07%,-5.75%,8.42%,-5.75%,20.37%,47.05,-0.41%,0.42%,3.00,163.83K,1.05,36.05,0.00%,"172,717",Feb 22/b
13,AAP,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,8.94B,25.38,18.76,3.27,0.95,2.77,24.60,34.59,0.20%,5.00%,4.77,-3.10%,23.43%,3.90%,7.75%,9.20%,-15.60%,-3.00%,73.87M,73.58M,0.20%,0.00%,-,-1.86%,6.53%,2.72,4.20%,11.50%,12.80%,1.50,0.30,0.32,0.32,43.70%,6.30%,3.70%,4.89%,20.83%,40.83%,14.91%,-28.11%,21.37%,1.12,2.80,2.12%,2.61%,10.08%,19.54%,10.36%,1.55%,52.88%,-29.24%,53.52%,78.00,1.45%,0.13%,2.60,1.77M,0.68,120.99,1.59%,"1,198,575",Feb 13/b
14,AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,898.51B,18.96,14.24,1.70,3.92,6.69,12.11,17.80,1.45%,26.00%,9.19,10.80%,6.82%,7.90%,11.16%,7.90%,23.70%,12.20%,5.16B,5.13B,0.07%,-15.65%,61.90%,-0.04%,0.89%,1.66,14.00%,36.30%,18.30%,1.30,1.20,0.73,0.86,38.50%,26.80%,21.10%,-2.72%,-0.45%,11.56%,14.06%,45.22%,2.95%,1.38,2.34,1.36%,1.17%,-0.20%,0.58%,9.98%,-3.26%,4.66%,-3.26%,45.79%,46.54,-1.71%,0.12%,1.80,27.61M,1.86,174.22,-1.59%,"51,326,184",Feb 01/a
15,AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1.69B,54.38,57.95,18.13,5.44,2.03,17.91,25.99,2.98%,156.00%,0.67,-16.60%,-6.02%,63.40%,3.00%,7.80%,4.00%,8.30%,46.57M,46.55M,0.70%,175.82%,-,-,1.95%,3.83,1.40%,3.70%,5.20%,-,-,1.58,1.58,63.30%,30.70%,10.00%,-0.33%,-3.82%,-7.81%,-9.65%,-17.64%,-5.28%,0.47,0.59,1.55%,1.47%,-2.17%,-5.36%,-9.14%,-9.43%,1.68%,-19.21%,1.68%,37.29,-1.07%,-0.11%,2.60,237.20K,0.68,36.22,-1.17%,"160,479",Feb 13/a
16,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,94.80M,-,-,-,-,1.80,6.87,-,-,-,-0.04,-212.70%,-,-19.00%,-,-,-29.30%,-,103.04M,87.01M,7.20%,0.00%,5.90%,58.76%,2.32%,7.05,-7.80%,-8.10%,-,30.70,30.70,0.00,0.00,-,-,-,-3.16%,-10.68%,-19.30%,-26.40%,-8.91%,-10.68%,-0.81,0.04,6.03%,4.11%,-6.22%,-1.48%,-21.08%,-12.38%,29.03%,-47.43%,29.03%,43.01,-3.16%,2.36%,-,286.65K,1.95,0.92,-0.87%,"559,450",Feb 07/a
17,AAV,Advantage Oil & Gas Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Canada,672.62M,13.04,22.64,0.27,3.57,0.65,-,4.05,-,0.00%,0.28,-169.40%,-64.43%,37.70%,48.82%,-12.30%,56.50%,1.40%,186.84M,184.51M,0.70%,0.00%,58.00%,3.61%,0.25%,1.82,4.20%,5.20%,-1.20%,0.80,0.80,0.12,0.12,91.30%,38.80%,27.70%,0.00%,-15.29%,-33.94%,-48.94%,-45.04%,-16.28%,0.81,0.21,5.52%,5.44%,-8.34%,-17.30%,-38.22%,-38.98%,7.46%,-51.02%,7.46%,35.86,-1.37%,1.39%,2.20,255.18K,1.72,3.60,0.00%,"439,799",Feb 01/a
18,AAWW,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,1.53B,37.10,11.32,3.71,0.74,0.98,8.68,6.10,-,0.00%,1.64,482.70%,16.14%,-14.10%,10.00%,5.60%,-217.20%,19.60%,25.04M,24.76M,1.10%,-17.94%,-,0.20%,11.20%,10.31,0.90%,2.70%,3.50%,0.70,0.70,1.21,1.34,47.40%,8.40%,2.10%,-1.53%,1.92%,-5.43%,3.57%,17.65%,4.01%,1.40,1.63,2.59%,2.73%,1.75%,5.76%,4.25%,-3.02%,17.52%,-11.21%,34.21%,57.05,-2.24%,0.16%,2.10,268.82K,0.46,61.00,-2.09%,"122,600",Feb 22/b
19,AAXJ,iShares MSCI All Country Asia ex Jpn ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,1.96%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.03,-,-,-,-,-,-,-,-,-,-,2.13%,9.93%,10.74%,16.45%,41.03%,8.10%,-,0.70,0.70%,0.63%,4.60%,6.96%,15.30%,0.21%,12.10%,0.21%,41.34%,73.59,-0.12%,0.38%,-,1.18M,0.72,82.46,0.26%,"845,606",-
20,AAXN,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,1.44B,106.71,97.18,3.56,4.34,8.67,23.22,-,-,0.00%,0.26,-11.40%,159.26%,36.40%,30.00%,24.40%,-89.20%,25.60%,52.83M,51.42M,2.70%,0.00%,97.40%,-0.04%,34.15%,27.81,4.50%,8.50%,11.50%,1.90,1.40,0.01,0.01,56.80%,4.50%,4.10%,-1.80%,3.15%,20.45%,7.08%,8.06%,2.68%,1.29,0.56,1.73%,1.85%,0.88%,7.56%,12.31%,-2.68%,30.76%,-3.41%,32.28%,59.60,-0.80%,-0.07%,2.10,631.47K,0.66,27.21,-0.87%,"415,870",Feb 06/a
21,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.53B,12.97,11.53,1.11,11.24,1.78,-,-,7.45%,97.50%,2.11,20.30%,12.71%,34.90%,11.67%,-,-11.60%,-12.20%,92.44M,89.33M,2.80%,37.85%,22.10%,0.17%,1.02%,3.36,13.60%,13.60%,14.10%,-,-,0.00,0.00,-,100.00%,89.40%,1.29%,7.66%,8.73%,9.16%,17.09%,9.38%,1.43,0.50,1.77%,1.80%,3.81%,6.54%,13.45%,-1.44%,14.14%,-1.44%,34.31%,65.84,-0.72%,0.73%,2.20,271.07K,0.43,27.40,0.00%,"115,806",Feb 13/b
22,ABAC,"Renmin Tianli Group, Inc.",Consumer Goods,Farm Products,China,21.12M,26.11,-,-,0.79,0.25,0.35,5.28,-,0.00%,0.11,-55.40%,-,-44.50%,-,3.30%,123.30%,-12.80%,7.49M,4.06M,49.21%,0.00%,1.40%,-,0.34%,1.02,1.00%,1.00%,0.90%,18.90,17.40,0.00,0.02,15.50%,3.10%,3.20%,-3.09%,-3.09%,-18.14%,34.29%,-24.80%,-4.40%,1.98,0.22,6.45%,8.01%,-3.46%,-5.96%,12.12%,-23.68%,7.93%,-40.75%,76.26%,45.33,-4.40%,-0.67%,-,13.44K,0.06,2.82,-5.05%,834,Feb 12/a
23,ABAX,"Abaxis, Inc.",Healthcare,Medical Laboratories & Research,USA,1.47B,54.36,46.75,10.19,6.44,5.32,9.87,72.35,0.98%,46.30%,1.20,5.90%,23.73%,19.80%,5.34%,7.70%,-43.20%,0.50%,22.57M,21.72M,0.10%,0.00%,99.40%,-0.05%,10.45%,14.97,8.80%,10.20%,9.80%,6.30,5.30,0.00,0.00,55.10%,17.50%,12.00%,6.69%,32.85%,38.30%,25.62%,35.99%,31.40%,1.01,1.95,2.83%,3.86%,15.71%,26.42%,32.96%,0.96%,44.60%,0.96%,49.04%,78.01,1.17%,0.00%,2.80,151.55K,1.33,65.07,1.17%,"201,989",Jan 25/a
24,ABB,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,61.05B,27.09,20.26,3.37,1.79,4.26,13.14,25.03,2.68%,72.40%,1.05,1.00%,20.05%,-8.70%,8.05%,-2.30%,4.20%,5.70%,2.15B,1.95B,-,-,4.90%,1.44%,0.22%,2.43,5.50%,16.20%,10.40%,1.40,1.00,0.50,0.55,30.00%,10.30%,6.60%,1.76%,6.69%,12.30%,20.96%,23.70%,5.85%,1.05,0.23,0.70%,0.69%,3.32%,7.33%,13.71%,0.44%,13.47%,0.44%,28.81%,81.02,-0.77%,1.60%,3.20,1.76M,1.86,28.39,0.82%,"3,268,230",Feb 08/b
25,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,168.50B,25.63,16.03,1.68,6.18,25.18,17.64,37.90,2.69%,60.20%,4.12,15.60%,18.41%,10.80%,15.22%,8.00%,4.40%,8.80%,1.60B,1.59B,0.07%,-37.44%,73.80%,0.07%,0.95%,3.00,9.90%,118.50%,18.00%,1.50,1.30,5.08,5.65,76.50%,37.20%,24.30%,1.10%,7.76%,11.64%,45.49%,74.17%,9.10%,1.54,1.79,1.70%,1.79%,4.80%,8.00%,29.99%,-1.36%,13.80%,-1.36%,78.02%,69.11,0.24%,-0.11%,2.30,5.03M,0.86,105.51,0.12%,"4,336,892",Jan 26/b
26,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,23.00B,64.42,15.23,7.91,0.15,11.07,9.44,32.06,1.45%,87.20%,1.62,-74.00%,10.52%,-11.10%,8.14%,14.40%,-349.20%,4.20%,219.83M,160.70M,0.20%,-39.54%,71.00%,0.20%,5.10%,4.19,1.10%,15.70%,8.70%,0.90,0.50,1.83,1.84,3.00%,0.70%,0.20%,3.28%,12.51%,26.77%,10.53%,23.94%,13.94%,1.03,2.07,2.09%,2.04%,8.04%,17.21%,21.01%,0.92%,41.28%,0.92%,45.51%,83.38,1.29%,0.47%,2.20,1.96M,1.08,104.62,1.76%,"2,111,675",Feb 06/b
27,ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1.98B,23.77,15.49,2.97,7.11,2.49,6.77,-,0.75%,17.60%,2.25,63.40%,39.49%,22.30%,8.00%,11.10%,-12.40%,22.70%,36.89M,36.01M,1.20%,-5.09%,83.70%,0.24%,3.97%,6.69,1.10%,11.00%,14.90%,-,-,0.20,0.20,-,86.60%,29.70%,0.00%,8.73%,11.56%,13.45%,20.88%,11.10%,1.24,0.93,1.20%,1.70%,4.96%,8.68%,13.95%,-1.11%,19.66%,-1.11%,30.45%,67.58,-1.02%,0.09%,2.30,213.78K,0.99,53.55,-0.93%,"212,401",Jan 26/b
28,ABCD,"Cambium Learning Group, Inc.",Services,Education & Training Services,USA,319.20M,18.20,-,-,2.03,-,26.38,10.47,-,0.00%,0.37,859.40%,-,17.10%,-,-2.40%,68.00%,3.30%,47.01M,14.14M,69.70%,-0.46%,15.90%,0.80%,0.37%,0.61,13.20%,-32.70%,134.50%,0.50,0.50,-,-,70.70%,15.40%,11.30%,-4.37%,17.27%,10.59%,39.43%,28.60%,19.54%,-0.69,0.29,4.56%,4.27%,9.00%,13.83%,22.44%,-6.98%,30.83%,-6.98%,49.23%,63.98,-3.96%,0.86%,-,84.81K,2.93,6.79,-3.14%,"248,270",Feb 13/b
29,ABDC,Alcentra Capital Corporation,Financial,Asset Management,USA,117.67M,-,7.94,-,3.26,0.67,-,-,12.11%,-,-0.06,-22.30%,-19.40%,11.12%,-,-,-,-16.50%,14.25M,-,-,-,-,-,-,0.76,-,-,-,-,-,-,-,-,-,-,-2.94%,-3.05%,-18.78%,-31.57%,-32.32%,-1.55%,-,0.23,2.05%,2.58%,-3.05%,0.24%,-25.63%,-8.32%,18.00%,-43.92%,18.00%,45.76,0.73%,0.49%,3.00,144.68K,0.23,8.26,1.23%,"33,842",Feb 05/a
30,ABE,"Aberdeen Emerging Markets Smaller Company Opportunities Fund, Inc.",Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.58,-,-,-,-,-,-,-,-,-,-,1.81%,7.25%,6.63%,9.64%,35.83%,6.85%,-,0.16,0.94%,1.04%,3.56%,6.93%,9.83%,0.04%,12.50%,0.04%,34.38%,80.80,0.04%,0.52%,-,11.36K,0.81,15.54,0.56%,"9,254",-
31,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,717.95M,-,-,-,797.72,6.91,12.71,-,-,-,-0.65,-21.60%,-4.90%,43.10%,-,-13.50%,-67.80%,0.00%,46.62M,30.06M,35.74%,0.00%,50.70%,20.33%,27.65%,10.81,-25.30%,-27.70%,-,22.10,22.10,0.00,0.00,-,-,-,0.98%,3.01%,-17.20%,69.23%,220.83%,-2.84%,1.21,0.95,6.30%,5.63%,-2.36%,-2.45%,35.21%,-12.99%,8.45%,-32.31%,242.22%,48.06,-0.65%,0.65%,1.80,768.65K,0.90,15.40,0.00%,"689,820",Feb 14/a
32,ABEV,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,107.91B,39.48,25.44,8.91,7.56,7.38,-,-,2.77%,-,0.17,-9.50%,42.10%,-19.10%,4.43%,-,-100.00%,8.40%,15.71B,4.41B,-,-,7.73%,-,0.49%,1.29,-,-,-,-,-,-,-,-,-,-,1.33%,9.74%,5.37%,16.05%,26.52%,6.35%,-,0.12,1.63%,1.63%,3.82%,7.26%,11.67%,0.00%,14.13%,-2.28%,29.62%,63.55,0.59%,1.79%,2.60,16.90M,2.01,6.87,2.38%,"33,979,676",Feb 01/b
33,ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1.56B,9.85,11.18,0.65,0.24,4.50,555.87,6.64,-,0.00%,7.70,15.30%,8.43%,39.00%,15.10%,9.50%,0.40%,-4.80%,20.52M,18.93M,0.80%,-80.21%,98.90%,-8.13%,8.00%,5.93,7.00%,52.70%,11.70%,1.20,0.40,2.60,4.62,16.30%,5.30%,2.50%,4.48%,17.23%,35.33%,41.78%,15.80%,18.52%,1.59,1.91,2.19%,2.70%,9.46%,14.03%,27.77%,-0.72%,26.52%,-0.72%,54.48%,72.05,0.46%,0.40%,2.50,255.19K,0.84,75.85,0.86%,"214,347",Feb 06/b
34,ABIL,Ability Inc.,Technology,Communication Equipment,Israel,12.60M,-,-,-,1.27,22.09,3.50,-,-,-,-0.44,-154.60%,-,-,-,-,-,-96.90%,25.93M,9.10M,64.66%,0.00%,10.90%,-,2.75%,0.83,-,-,-84.30%,0.90,0.90,0.00,0.00,44.00%,-,-,-4.71%,-0.31%,-30.07%,-46.59%,-84.76%,10.45%,-,0.06,8.52%,12.76%,1.57%,-0.67%,-36.56%,-36.88%,38.07%,-86.27%,38.07%,49.37,0.66%,-2.13%,3.00,300.48K,0.34,0.49,-1.48%,"100,906",Jan 16/b
35,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,19.92M,-,-,-,-,1.40,1.25,-,-,-,-1.92,0.30%,-,39.50%,-,-,25.00%,-,11.38M,11.38M,1.32%,0.00%,51.60%,8.46%,0.78%,0.47,-93.30%,-107.00%,-,6.40,6.40,0.00,0.00,-,-,-,9.38%,29.63%,29.63%,-27.08%,-31.37%,29.63%,0.92,0.12,6.75%,8.17%,13.45%,23.54%,-1.30%,-12.50%,52.17%,-37.50%,66.67%,63.84,0.00%,4.48%,-,188.98K,2.37,1.75,4.48%,"447,894",Feb 08/a
36,ABM,ABM Industries Incorporated,Services,Business Services,USA,2.50B,28.27,16.83,5.54,0.46,1.79,39.80,-,1.73%,915.00%,1.39,22.40%,18.53%,3.20%,5.10%,4.90%,-125.20%,13.30%,63.62M,63.62M,0.90%,-2.83%,97.20%,0.51%,4.99%,7.22,0.10%,0.40%,3.60%,1.60,1.60,0.84,0.86,10.50%,1.90%,0.10%,1.45%,1.92%,-7.31%,-11.39%,-2.94%,4.16%,0.76,0.88,2.04%,1.74%,1.62%,-2.04%,-6.19%,-12.10%,7.32%,-12.92%,7.32%,51.49,-0.33%,0.23%,1.80,439.67K,1.05,39.29,-0.10%,"463,049",Dec 13/a
37,ABMD,"ABIOMED, Inc.",Healthcare,Medical Appliances & Equipment,USA,10.19B,114.58,86.09,4.09,20.20,17.00,38.72,109.35,-,0.00%,2.03,37.30%,11.13%,99.20%,28.00%,28.60%,169.30%,28.90%,43.75M,43.11M,1.60%,-8.75%,93.10%,0.09%,2.26%,2.89,15.40%,18.10%,10.90%,5.80,5.20,0.02,0.03,83.80%,23.60%,18.30%,3.94%,22.20%,32.36%,57.08%,107.44%,24.30%,0.29,4.05,1.61%,1.78%,12.39%,17.07%,43.56%,0.67%,24.76%,0.67%,125.01%,83.88,0.74%,0.43%,1.70,337.37K,0.98,232.95,1.16%,"331,371",Feb 01/b
38,ABR,"Arbor Realty Trust, Inc.",Financial,REIT - Diversified,USA,522.60M,8.40,8.79,1.05,1.58,0.89,6.16,237.55,8.93%,58.50%,1.01,-8.00%,-2.52%,20.60%,8.00%,17.30%,26.30%,39.70%,61.41M,53.38M,1.80%,-1.83%,55.40%,0.63%,10.40%,11.02,2.20%,11.80%,1.50%,-,-,3.52,3.52,71.40%,33.30%,19.50%,0.24%,-1.50%,1.79%,3.40%,13.62%,-1.50%,0.38,0.12,1.04%,1.30%,-0.50%,-0.80%,1.76%,-3.73%,4.29%,-5.34%,19.69%,47.04,-0.23%,0.35%,2.50,503.52K,0.70,8.51,0.12%,"351,120",Feb 02/b
39,ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,107.00B,50.88,21.82,4.27,4.26,3.36,9.55,48.20,1.81%,81.70%,1.21,-58.60%,13.34%,0.00%,11.92%,-0.50%,232.30%,28.80%,1.73B,1.73B,0.60%,-9.46%,75.00%,0.59%,0.57%,1.63,3.20%,7.30%,6.70%,2.70,2.30,0.73,0.75,54.70%,7.90%,8.40%,4.63%,8.41%,10.06%,21.42%,53.11%,8.15%,1.53,1.03,2.21%,1.36%,5.47%,8.78%,20.87%,3.42%,13.62%,3.42%,57.25%,78.08,1.18%,2.99%,1.90,6.02M,1.96,61.72,4.20%,"11,780,593",Jan 24/b
40,ABTX,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,519.40M,25.93,15.54,-,4.56,1.71,2.53,16.75,-,0.00%,1.51,22.30%,59.68%,-,-,-,-46.90%,17.50%,13.25M,11.32M,3.10%,-16.94%,41.50%,-0.24%,3.68%,13.00,0.80%,6.90%,15.30%,-,-,0.72,0.72,-,76.80%,17.70%,-0.88%,-2.12%,1.42%,2.08%,14.45%,4.12%,-,0.97,2.10%,2.55%,1.31%,1.21%,3.42%,-3.27%,8.59%,-3.27%,25.64%,53.72,0.26%,-0.13%,2.00,32.06K,0.51,39.20,0.13%,"16,250",Jan 25/b
